Timestamp,From Bank,Sender_Account,To Bank,Receiver_Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,Predicted
2022/09/01 00:18,3601,8003F1EA0,1467,8003E6470,17074.62,US Dollar,17074.62,US Dollar,ACH,0,1
2022/09/01 00:29,3938,800582FF0,795,800574820,773.18,US Dollar,773.18,US Dollar,ACH,0,1
2022/09/01 00:21,3482,8006CA2E0,1688,8006CA380,1378.73,US Dollar,1378.73,US Dollar,ACH,0,1
2022/09/01 00:15,1362,800771340,21258,800771390,27648172.0,US Dollar,27648172.0,US Dollar,ACH,0,1
2022/09/01 00:20,11813,800F609E0,21940,800F596B0,1337.06,US Dollar,1337.06,US Dollar,ACH,0,1
2022/09/01 00:19,2845,8012A2540,13145,8012A4E20,8528646.0,US Dollar,8528646.0,US Dollar,ACH,0,1
2022/09/01 00:10,220,8001949F0,13264,80163A330,48666.23,US Dollar,48666.23,US Dollar,Cash,0,1
2022/09/01 00:12,1686,801892A00,2843,801A4D330,5939.72,US Dollar,5939.72,US Dollar,ACH,0,1
2022/09/01 00:16,795,8006F0770,13145,802271060,63515.23,US Dollar,63515.23,US Dollar,Cash,0,1
2022/09/01 00:01,1411,800A9CFC0,11474,802E6F330,3406.93,US Dollar,3406.93,US Dollar,ACH,0,1
2022/09/01 00:16,14325,8032E41B0,2991,8032E3B10,4601672.0,US Dollar,4601672.0,US Dollar,ACH,0,1
2022/09/01 00:05,1665,8003DC580,3149,803213640,18411.7,US Dollar,18411.7,US Dollar,ACH,0,1
2022/09/01 00:02,32879,803788B40,1241,8037883E0,16920.57,US Dollar,16920.57,US Dollar,ACH,0,1
2022/09/01 00:07,3420,8027BA360,14433,8037844C0,13955.9,US Dollar,13955.9,US Dollar,ACH,0,1
2022/09/01 00:21,6010,802DB24F0,17222,80378B4E0,11477509.64,US Dollar,11477509.64,US Dollar,ACH,0,1
2022/09/01 00:29,37612,803C83BD0,701,803C84C10,14024.47,US Dollar,14024.47,US Dollar,ACH,0,1
2022/09/01 00:28,21550,800BAEA10,29685,804272150,15422.72,US Dollar,15422.72,US Dollar,ACH,0,1
2022/09/01 00:13,12,8042B7640,7478,804519C00,16968.04,US Dollar,16968.04,US Dollar,ACH,0,1
2022/09/01 00:01,1362,803467200,3420,8045CB940,227792.94,US Dollar,227792.94,US Dollar,ACH,0,1
2022/09/01 00:11,23833,802C8AE80,21550,804A2F720,201143856.47,US Dollar,201143856.47,US Dollar,ACH,0,1
2022/09/01 00:07,34361,804E62C10,7478,804E62B70,17315.8,US Dollar,17315.8,US Dollar,ACH,0,1
2022/09/01 00:00,34394,804EA5D40,18549,804EA3220,20989.38,US Dollar,20989.38,US Dollar,ACH,0,1
2022/09/01 00:06,4866,8051C2E60,6010,8051C3090,26899614.0,US Dollar,26899614.0,US Dollar,ACH,0,1
2022/09/01 00:21,213704,805EB28E0,3149,805EB30A0,1235.0,US Dollar,1235.0,US Dollar,ACH,0,1
2022/09/01 00:13,12,800132EC0,28693,80623C860,12044.9,US Dollar,12044.9,US Dollar,ACH,0,1
2022/09/01 00:14,33716,8062F1230,114674,8062F0FB0,19200.48,US Dollar,19200.48,US Dollar,ACH,0,1
2022/09/01 00:28,220,800464590,8595,8069EC060,4471.87,US Dollar,4471.87,US Dollar,ACH,0,1
2022/09/01 00:27,111764,80531AC50,113798,806A19D30,8676.42,US Dollar,8676.42,US Dollar,ACH,0,1
2022/09/01 00:24,34775,806E8C110,16586,806E8D3A0,8428.26,US Dollar,8428.26,US Dollar,ACH,0,1
2022/09/01 00:05,14077,8075613F0,11157,80755FFB0,2004.0,US Dollar,2004.0,US Dollar,ACH,0,1
2022/09/01 00:07,3420,802E11D20,29685,807C8BD20,13574.71,US Dollar,13574.71,US Dollar,ACH,0,1
2022/09/01 00:24,1665,800791240,111631,807CF81B0,997.9,US Dollar,997.9,US Dollar,ACH,0,1
2022/09/01 00:06,37333,807D30BF0,29404,807D312B0,11914.86,US Dollar,11914.86,US Dollar,ACH,0,1
2022/09/01 00:03,24132,805B0D700,2947,807D43490,5731.55,US Dollar,5731.55,US Dollar,ACH,0,1
2022/09/01 00:24,111764,808BCF250,15447,808BCF3E0,111290.64,US Dollar,111290.64,US Dollar,ACH,0,1
2022/09/01 00:22,29251,808D320C0,1420,808D32DD0,109915.0,US Dollar,109915.0,US Dollar,ACH,0,1
2022/09/01 00:19,27637,809281BA0,225263,809281C90,14717.0,US Dollar,14717.0,US Dollar,ACH,0,1
2022/09/01 00:26,18902,808F04E70,24161,809054830,5032.56,US Dollar,5032.56,US Dollar,ACH,0,1
2022/09/01 00:15,24515,803B6CCB0,116715,80991CC00,14789.76,US Dollar,14789.76,US Dollar,ACH,0,1
2022/09/01 00:18,32055,809B0C410,17748,809B0B000,1556.25,US Dollar,1556.25,US Dollar,ACH,0,1
2022/09/01 00:07,23402,807110DA0,224466,809DBCCA0,2974.44,US Dollar,2974.44,US Dollar,ACH,0,1
2022/09/01 00:22,70,100428660,2991,80A00E360,52.01,US Dollar,52.01,US Dollar,Cash,0,1
2022/09/01 00:10,113744,806738520,218438,80A8290B0,10092.27,US Dollar,10092.27,US Dollar,ACH,0,1
2022/09/01 00:10,12,800465CF0,13145,80AE684A0,11796.25,US Dollar,11796.25,US Dollar,ACH,0,1
2022/09/01 00:01,19535,807D8F9E0,221130,80AEECA50,15923.71,US Dollar,15923.71,US Dollar,ACH,0,1
2022/09/01 00:01,70,100428660,15980,80B39E7B0,792.92,US Dollar,792.92,US Dollar,Credit Card,1,1
